REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,(540) Civitas Resources - Denver Basin,1000355,555 17th St. Suite 3700,39.74431,-104.98858,Denver,,CO,80202,CIVITAS RESOURCES INC (100%),638406,W
2022,(540) Civitas Resources - GB - Denver Basin,1014558,555 17th St. Suite 3700,39.74582152,-104.9892427,Denver,,CO,80202,CIVITAS RESOURCES INC (100%),73619,W
2022,220 Gulf Coast Basin,1012507,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),201806,W
2022,220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),913156,W
2022,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),68770,"C,D"
2022,260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),3720,W
2022,30-30 Gas Plant,1013701,2300 FM 1622,33.05188,-102.88792,Plains,YOAKUM COUNTY,TX,79355,STAKEHOLDER GAS SERVICES LLC (100%),40743,"C,PP,RR (RPT),W"
2022,31st Street Landfill,1003742,11700 W 31ST ST,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,CATHOLIC BISHOP OF CHICAGO (100%),294,"C,HH"
2022,345 Arkoma Basin,1012472,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),62694,W
2022,350 South Oklahoma Folded Belt,1012466,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),78600,W
2022,360 Anadarko Basin,1009265,"4700 Gaillardia Parkway, Ste. 200",35.56719,-97.49827,Oklahoma City,,OK,73142,CHAPARRAL ENERGY INC (100%),97549,W
2022,360 Anadarko Basin,1012522,811 Louisiana Suite 2100,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),206476,W
2022,360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),262644,W
2022,360 Anadarko Camino Production,1013331,1401 17th Street Suite 1000,39.75164151,-104.9966423,Denver,,CO,80202,CAMINO NATURAL RESOURCES LLC (100%),78342,W
2022,375 Sedgwick Basin,1012523,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),31883,W
2022,395 Williston Basin,1012526,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),146145,W
2022,395 Williston Basin GB WPX,1014714,333 W Sheridan Ave,35.46715529,-97.51773636,OKLAHOMA CITY,,OK,73102,DEVON ENERGY CORP (100%),31031,W
2022,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M CO (100%),29490,"C,N"
2022,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),87821,C
2022,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),29808,"C,N"
2022,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON COUNTY,WI,54401,3M CO (100%),41485,C
2022,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.64179,-87.033608,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),36887,"C,L,OO"
2022,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),35151,"C,L,OO"
2022,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),23310,"C,L,N,OO"
2022,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.70537,-92.24607,LITTLE ROCK,PULASKI COUNTY,AR,72206,3M CO (100%),32726,C
