YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,1
2022,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.64179,-87.033608,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),1256,"C,L,OO",1
2022,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),615054,"C,L,OO",1
2022,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),758,"C,L,N,OO",1
2022,AEP Corporate SF6 Emissions,1003708,1 Riverside Plaza,39.588493,-81.682523,Columbus,WASHINGTON COUNTY,OH,43215,AMERICAN ELECTRIC POWER CO INC (93.34%); AMERICAN ELECTRIC POWER CO INC (93.34%); ELECTRIC TRANSMISSION TEXAS LLC (4.88%),76826,DD,1
2022,ALCOA INC - WARRICK OPERATIONS,1001877,,37.915,-87.3328,NEWBURGH,WARRICK COUNTY,IN,47629,ALCOA CORP (100%),202537,"C,D,F",1
2022,ANALOG DEVICES,1004746,4200 NW PACIFIC RIM BLVD,45.59995,-122.45204,CAMAS,CLARK COUNTY,WA,98607,ANALOG DEVICES INC (100%),14040,"C,I",1
2022,"ARKEMA, INC.",1005721,4444 INDUSTRIAL PARKWAY,37.056699,-88.365727,CALVERT CITY,MARSHALL COUNTY,KY,42029,ARKEMA DELAWARE INC (100%),276997,"C,L,OO",1
2022,Advanced Magnesium Alloys Corporation,1010185,1820 E. 32nd st.,40.085371,-85.658666,Anderson,MADISON COUNTY,IN,46013,PHOENIX GLOBAL HOLDINGS (100%),251256,T,1
2022,Airgas Therapeutics LLC - Scott Medical Products,1004725,6141 Easton Road Bldg. #3,40.384845,-75.146286,Plumsteadville,BUCKS COUNTY,PA,18949,AIRGAS INC (100%),2214,"L,OO",1
2022,Alcoa USA Corp.,1012517,1814 State Highway 131,44.965835,-74.8935,Massena,ST. LAWRENCE COUNTY,NY,13662,ALCOA CORP (100%),28523,"C,F",1
2022,Ameren Illinois Electric,1010811,300 Liberty Street,40.69048,-89.59244,Peoria,PEORIA COUNTY,IL,61602,AMEREN CORP (100%),7668,DD,1
2022,Ameren Missouri Electric,1010812,1901 Chouteau Avenue,38.620785,-90.211635,St. Louis,ST. LOUIS CITY,MO,63103,AMEREN CORP (100%),13142,DD,1
2022,Anaheim Electric Distribution System,1010076,"201 S. Anaheim Blvd., MS-1101",33.83458,-117.91401,Anaheim,ORANGE COUNTY,CA,92805,CITY OF ANAHEIM CALIFORNIA (100%),2227,DD,1
2022,Analog Devices Inc,1009982,One Analog Way,45.502117,-122.824922,Willmington,WASHINGTON COUNTY,MA,1887,ANALOG DEVICES INC (100%),67733,"C,I",1
2022,"Analog Devices, Inc./ Wilmington Manufacturing",1003759,"1 Analog Way, MS-424",42.5307,-71.14958,Wilmington,MIDDLESEX COUNTY,MA,1887,ANALOG DEVICES INC (100%),34967,"C,I",1
2022,Arizona Public Service Company,1009780,2124 W. Cheryl Ave.,33.578425,-112.104408,Phoenix,MARICOPA COUNTY,AZ,85021,PINNACLE WEST CAPITAL CORP (85.396%); SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (8.037%); UNS ENERGY CORP (1.625%); LOS ANGELES DEPARTMENT OF WATER & POWER (1.206%); SAN DIEGO GAS & ELECTRIC (1.072%),10761,DD,1
2022,Avago Technologies,1008734,4380 Ziegler Road,40.5236,-105.02021,Fort Collins,LARIMER COUNTY,CO,80525,BROADCOM INC (100%),60222,"C,I",1
2022,Avista Corporation,1010805,1411 E.Mission,47.66,-117.39,Spokane,SPOKANE COUNTY,WA,99220,AVISTA CORP (100%),1609,DD,1
2022,BP Whiting Business Unit,1007339,2815 INDIANAPOLIS BLVD,41.6703,-87.4803,WHITING,Lake,IN,46394,BP AMERICA INC (100%),2589,"C,D,DD,MM,P,Y",1
