country,year,co2
China,2022,11396.777
China,2021,11336.233
China,2020,10914.012
China,2019,10721.042
China,2018,10353.935
China,2017,10011.151
China,2014,9998.674
China,2013,9956.376
China,2015,9866.951
China,2012,9779.354
China,2016,9765.029
China,2011,9532.409
China,2010,8620.627
United States,2010,5679.715
United States,2011,5546.116
United States,2014,5528.681
United States,2013,5480.157
United States,2018,5377.797
United States,2015,5376.473
United States,2012,5344.086
United States,2019,5262.145
United States,2016,5252.932
United States,2017,5212.162
United States,2022,5057.304
United States,2021,5032.213
United States,2020,4714.628
India,2022,2829.644
India,2021,2674.222
India,2019,2612.888
India,2018,2593.058
India,2017,2426.607
India,2020,2421.552
India,2016,2354.658
India,2015,2234.219
India,2014,2148.344
India,2013,1995.098
India,2012,1925.7
India,2011,1764.712
Russia,2018,1712.494
Russia,2021,1711.993
Russia,2019,1705.031
Russia,2012,1701.268
Russia,2011,1685.91
India,2010,1677.337
Russia,2017,1666.121
Russia,2022,1652.177
Russia,2013,1640.437
Russia,2014,1639.959
Russia,2015,1638.675
Russia,2016,1634.885
Russia,2020,1632.929
Russia,2010,1632.783
Japan,2013,1315.192
Japan,2012,1305.884
Japan,2011,1264.631
Japan,2014,1264.072
Japan,2015,1223.169
Japan,2010,1214.707
Japan,2016,1202.454
Japan,2017,1186.802
Japan,2018,1141.669
Japan,2019,1104.54
Japan,2021,1062.129
Japan,2022,1053.798
Japan,2020,1039.796
