country,year,total_ghg
China,2020,12295.62
China,2019,12085.05
China,2018,11877.1
China,2017,11366.6
China,2014,11233.38
China,2013,11154.26
China,2016,11126.01
China,2015,11097.28
China,2012,10667.19
China,2011,10382.27
China,2010,9882.38
United States,2010,6063.3
United States,2018,5935.52
United States,2011,5847.39
United States,2019,5819.48
United States,2014,5816.48
United States,2016,5783
United States,2013,5769.63
United States,2017,5728.79
United States,2015,5705.12
United States,2012,5628.8
United States,2020,5289.13
India,2018,3406.53
India,2019,3380.31
India,2017,3241.44
India,2020,3166.95
India,2016,3116.76
India,2015,3041.47
India,2014,3022.2
India,2013,2840.44
India,2012,2776.41
India,2011,2619.73
India,2010,2581.25
Russia,2019,1889.93
Russia,2018,1843.24
Russia,2020,1799.98
Russia,2017,1750.27
Russia,2016,1717.74
Russia,2011,1681.7
Russia,2012,1659.67
Russia,2013,1618.57
Russia,2014,1607.17
Russia,2015,1587.48
Russia,2010,1509.01
Japan,2013,1302.82
Japan,2012,1287.06
Japan,2014,1255.98
Japan,2011,1243.62
Japan,2016,1226.53
Japan,2015,1219.3
Japan,2017,1209.79
Japan,2018,1166.41
Japan,2010,1136.98
Japan,2019,1125.76
Japan,2020,1062.78
