Name,Code,Y1990,Y2000,Y2010,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Afghanistan,AFG,0,0,1127586.88,2788039.017,3809982.77,4811861.43,6163379.712,6647431.824,7170890.32,0
Albania,ALB,0,3524.496403,1310859.45,1639120.007,1714156.196,1793037.168,1874609.904,1956559.093,2049996.197,2230317.995
Algeria,DZA,0,151320.5656,4482043,15105484.83,17323937.39,19618452.86,20560361.95,25186590.27,27787338.71,31264748.66
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0
Andorra,AND,0,6965.854167,57930.39,63064.734,65068.38,67610.67061,0,69257.35065,72420.7892,74210.96722
Angola,AGO,0,17221.24079,654197.18,6188098.62,6763901.072,7854243.28,9069324.57,10395011.11,10881021.27,11249024.5
Antigua and Barbuda,ATG,0,4865.234499,40276.65,62958.7,66111.72,0,0,88162.99872,88666.01895,89176.45506
Argentina,ARG,0,2609294.305,18354803.85,29348311.27,30935639.9,32723051.33,34572228.05,35927130.51,38803660.49,39922646.79
Armenia,ARM,0,41205.69106,736573.25,1701273.647,1844051.043,1846474.247,1935809.808,1876939.976,2146506.169,2194047.67
Aruba,ABW,0,13759.70972,62211.42,92435.53533,98101.7131,102455.0763,0,0,0,0
Australia,AUS,99847.15948,8897128.66,16744130,20138928,20934810.92,21283667.31,22466932.2,23715910.15,24724455.87,24719640.51
Austria,AUT,10009.56698,2702311.867,6286770.787,7254693.805,7367085.436,7736191.269,7733611.495,7792325.584,7804880.064,8286722.929
Azerbaijan,AZE,0,11892.41819,4164992.72,7429992.57,7630608.984,7784686.07,7931936.811,8129693.423,8538779.932,8718465
"Bahamas, The",BHS,0,26001.12,160506.96,306303.66,316780.8,321610.12,333581.98,366905.999,375888.2049,384630.0976
Bahrain,BHR,0,43780.23757,667504.75,1273307.196,1381467.508,1396785.281,1467181.673,1489727.915,1472608.594,1463265
Bangladesh,BGD,0,91778.16434,5490472.143,20360070,28921006.81,32035204.87,38367519.76,45947303.23,55031266.59,65909125.33
Barbados,BRB,0,10516.61804,178836.861,211648.9713,221663.6018,228265.4644,230686.6624,233134.4531,231455.0858,241325.84
Belarus,BLR,0,185660.4748,3015859.848,5887661.74,6733963.825,7040935.182,7468899.876,7798537.778,7981205.35,8082868.381
Belgium,BEL,100.3455913,3017116.295,8459309.599,9589035.362,9803547.074,9973702.225,10129779.75,10371725.87,10560870.73,10750676.96
Belize,BLZ,0,14337.41789,90833.892,149670.3489,163732.489,176415.3031,190268.868,222245.0015,235003.2281,247995.8974
Benin,BEN,0,15762.89985,295650.723,1230483.404,1632712.325,2168597.673,2268729.77,2755018.356,3569046.687,4414438.393
Bermuda,BMU,0,26557.18693,54840.9204,64143.37326,63262.92,62831.8701,0,0,0,0
Bhutan,BTN,0,2354.373583,95950.176,295823.052,348638.865,410573.703,483930.96,569296.8084,616999.3742,665814.7832
Bolivia,BOL,0,123971.713,2290012.48,4157672.867,4471137.024,5012454.398,5140250.453,5591258.991,7154547.63,7969718.962
Bosnia and Herzegovina,BIH,0,45260.72219,1629240.12,1853794.424,2097521.561,2232303.026,2384175.045,2350694.598,2429463.933,2475325.412
Botswana,BWA,0,50128.61678,125499.84,860106.5653,925981.4489,994693.0842,1421817.22,1620464.953,1852457.036,1902490.905
Brazil,BRA,0,5048780.851,79817694.5,119682077.1,125920679.6,140680974.8,148029331.1,156533892.4,173419616.1,172939600.2
British Virgin Islands,VGB,0,0,10195.72,0,23107.62818,23357.90305,0,0,0,0
Brunei Darussalam,BRN,0,30040.93298,209908.09,300063.144,383394.6,408188.6059,412560.3,416145.6,424361.3464,436821.8384
Bulgaria,BGR,0,438813.6879,3418985.418,4066780.641,4264258.551,4486865.168,4550960.221,4739818.994,4865077.137,5176976.595
Burkina Faso,BFA,0,9159.353836,386804.28,1226030.245,1376270.557,1545213.338,1733381.455,1942595.322,2999817.542,4769289.224
Burundi,BDI,0,4872.565655,91266.05,214542.96,239873.194,296822.2734,310323.744,324354.4788,462896.6263,728588.0745
Cabo Verde,CPV,0,8351.367396,156363.6,235681.0922,280999.5958,322939.8326,339865.19,357431.9883,368002.365,410149.7465
Cambodia,KHM,0,5698.594128,180980.5032,2775154.14,5062123.301,5208340.769,0,8477603.882,8797041.236,9978695.853
Cameroon,CMR,0,38048.94188,854755.548,4211314.218,4884595.78,5659942.957,7447793.859,9420656.605,12061186,12403165.64
Canada,CAN,99964.92511,15741779.49,27305925.87,32132617.2,32917408.35,33877935.14,35078395.5,34560379.69,35080614.22,35487193.5
Cayman Islands,CYM,0,0,35688.84,46901.47,49181.45,51543.65008,0,0,0,0
Central African Republic,CAF,0,2007.178748,93201.34,139760.657,152029.487,199869.64,259833.78,391176.547,457665.5948,577510.9402
Chad,TCD,0,2949.098308,202210.359,494909.59,846369.93,1116355.416,1248336.8,1348878.698,1940804.094,3069826.987
Channel Islands,CHI,0,0,0,0,0,0,0,0,0,0
Chile,CHL,0,2548398.634,7651872.9,13693803.11,15110633.59,15122387.82,15877531.05,16186910.11,16669874.14,17581559.34
China,CHN,0,22423479.22,458832815,694069580,738304280,758144745,830433920,902095402.5,988514496.4,1031774760
Colombia,COL,0,865687.0461,16357879.42,26342270.98,27688060.28,30103692.49,31599529.69,32625277.18,35547226.01,37621707.83
Comoros,COM,0,1458.58941,33457.224,54467.99001,59238.305,64575.17103,0,129593.1783,170610.6454,224607.1596
"Congo, Dem. Rep.",COD,0,2869.388507,478017.0504,2988961.959,5056842.581,7265137.979,10189220.54,14817724.55,21230828.13,21961272.85
"Congo, Rep.",COG,0,825.9642044,221894.2,385702.3565,421271.2156,459517.41,0,0,0,0
Costa Rica,CRI,0,230803.2614,1687121.98,2925541.034,3257923.268,3574675.231,3703917.653,4128771.999,4125645.991,4264848.708
Cote d'Ivoire,CIV,0,38884.80178,570241.134,3940655.747,9977904.534,10893350.56,9572109.408,9488672.911,11093004.17,12482140.98
Croatia,HRV,0,296913.4176,2429063.969,2936008.723,3034637.751,2767403.239,3077926.098,3214793.279,3170179.405,3151841.345
Cuba,CUB,0,60102.59738,1795176.303,4230358.502,4874646.499,6478574.562,7100421.402,7692050.469,8036951.897,8005427.656
Curacao,CUW,0,0,0,0,98760.9826,109122.7687,0,0,0,0
Cyprus,CYP,0,144657.2942,598620.6114,851466.6486,909194.1394,975800.01,1029102.678,1057580.868,1123707.683,1129219.002
Czechia,CZE,0,1002999.298,7208488.962,7980080.374,8081257.372,8339853.967,8577094.11,8630015.179,8701519.711,8685187.3
Denmark,DNK,5000.966654,2091657.388,4921904.358,5474927.682,5554324.439,5597758.811,5638320.461,5700833.475,5630170.744,5790308.898
Djibouti,DJI,0,1443.257895,59747.935,230433.311,315164.388,579216.3944,613174.84,637329.1554,667846.1654,761321.7567
Dominica,DMA,0,6024.593417,32624.2475,45504.55,46971.2725,49014.33543,0,52415.25817,55482.98124,58605.20765
Dominican Republic,DOM,0,316410.0351,3069587.07,5641601.559,6724064.042,7194475.361,8054990.815,8674541.64,9041537.452,9477206.969
Ecuador,ECU,0,184623.3333,4351476.526,7926344.697,8887720.46,9316894.752,9784011.4,10267494.08,12435136.67,13562391.32
