TUCASEID,YEAR,CASEID,SERIAL,REGION,STATEFIP,FAMINCOME,HOUSETYPE,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,CITIZEN,GENHEALTH,HEIGHT,WEIGHT,BMI,EDUC,EDUCYRS,EMPSTAT,MULTJOBS,DIFFEYE,DIFFHEAR,DIFFMOB,DIFFPHYS,DIFFREM,Caring,CaringNonHouseHold,ConsumerPuchases,EatingDrinking,Education,GovernmentServicesCivicDuties,HouseActivities,HouseholdServices,Personal_Care,ProfessionalPersonalCareServices,ReligionSpiritualActivities,SocializingAndLesiure,SportsExercisRecreation,Telephone,Traveling,Volunteering,Working
,2022,20220101220500,2,Northeast,Massachusetts,"$60,000 to $74,999","House, apartment, flat",1,1,41333241,30,Female,White only,Married - spouse present,"Native, born in United States",Good,68,245,37.2,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,90,0,0,35,0,940,0,0,375,0,0,0,0,0
,2022,20220101220504,3,Midwest,Michigan,"$75,000 to $99,999","House, apartment, flat",1,1,5708959,64,Female,White only,Married - spouse present,"Native, born in United States",Very good,68,148,22.5,Associate degree - occupational vocational,College--one year,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,125,0,0,355,0,510,0,0,225,0,40,0,0,185
,2022,20220101220507,4,West,California,"$60,000 to $74,999","House, apartment, flat",1,1,5024633,60,Female,White only,Married - spouse present,"Native, born in United States",Excellent,70,165,23.7,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,15,10,85,0,0,260,0,580,0,0,395,0,0,45,0,50
,2022,20220101220552,5,Midwest,Wisconsin,"$50,000 to $59,999","House, apartment, flat",1,1,12479838,73,Male,White only,Married - spouse present,"Native, born in United States",Very good,73,275,36.3,Associate degree - academic program,College--two years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,90,0,0,10,0,582,0,0,758,0,0,0,0,0
,2022,20220101220574,6,Midwest,Ohio,"$60,000 to $74,999","House, apartment, flat",1,1,11289661,74,Male,White only,Married - spouse present,"Native, born in United States",Excellent,70,214,30.7,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Unemployed - looking,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,115,0,0,190,0,660,0,0,473,2,0,0,0,0
,2022,20220101220580,7,West,California,"$150,000 and over","House, apartment, flat",1,1,4102731,63,Female,White only,Widowed,"Native, born in United States",Excellent,67,148,23.2,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,180,0,0,105,0,660,75,0,210,0,15,195,0,0
,2022,20220101220601,8,Northeast,Massachusetts,"$150,000 and over","House, apartment, flat",1,1,8807754,58,Female,White only,Divorced,"Native, born in United States",Very good,66,127,20.5,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,30,30,0,0,250,0,570,0,0,540,0,0,20,0,0
,2022,20220101220605,9,Northeast,New Jersey,"$100,000 to $149,999","House, apartment, flat",1,1,10180753,62,Female,White only,Married - spouse present,"Native, born in United States",Very good,66,190,30.7,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,10,0,0,3,0,1397,0,0,30,0,0,0,0,0
,2022,20220101220613,10,West,California,"$25,000 to $29,999","House, apartment, flat",1,1,19427999,39,Male,White only,Never married,"Native, born in United States",Good,71,225,31.4,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,120,75,0,0,30,0,750,0,0,435,0,0,30,0,0
,2022,20220101220668,11,Midwest,Nebraska,"$60,000 to $74,999","House, apartment, flat",1,1,7501579,45,Female,White only,Married - spouse present,"Native, born in United States",Fair,68,180,27.4,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,45,0,0,0,0,420,0,0,975,0,0,0,0,0
