UserID,QuestionNumber,UserAnswer,CorrectAnswer,ActualError,LogError
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,1,5,,5,2.357552004618084
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,2,2,2,0,0
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,3,25,25,0,0
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,4,20,20,0,0
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,5,35,35,0,0
3ZENKwXs4BRTKHyah1aX4lOu7Ar2,6,50,10,40,5.3264294871223035
4M6N5cKO6JOrjPrP34nPy0NDMpp2,1,55,,55,5.7846348455575205
4M6N5cKO6JOrjPrP34nPy0NDMpp2,2,2,2,0,0
4M6N5cKO6JOrjPrP34nPy0NDMpp2,3,20,20,0,0
4M6N5cKO6JOrjPrP34nPy0NDMpp2,4,20,20,0,0
4M6N5cKO6JOrjPrP34nPy0NDMpp2,5,5,5,0,0
4M6N5cKO6JOrjPrP34nPy0NDMpp2,6,10,10,0,0
5FfAcsQ7cshEhi0wD6w7GuvI4o22,1,37,,37,5.2143191208007655
5FfAcsQ7cshEhi0wD6w7GuvI4o22,2,2,2,0,0
5FfAcsQ7cshEhi0wD6w7GuvI4o22,3,25,25,0,0
5FfAcsQ7cshEhi0wD6w7GuvI4o22,4,20,20,0,0
5FfAcsQ7cshEhi0wD6w7GuvI4o22,5,30,30,0,0
5FfAcsQ7cshEhi0wD6w7GuvI4o22,6,10,10,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,1,0,,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,2,2,2,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,3,20,20,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,4,20,20,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,5,5,5,0,0
5Lmxnz4ONvPfiL2zRAQesjv4Kxu1,6,50,10,40,5.3264294871223035
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,1,5,,5,2.357552004618084
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,2,2,2,0,0
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,3,25,25,0,0
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,4,20,20,0,0
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,5,10,40,30,4.912889336229962
H5iHNIHSnOa1MkvHmZBuO4vGAxu1,6,50,10,40,5.3264294871223035
RXW3he7HmTTxqdnWZqXYzrziLeG2,1,1,,1,0.16992500144231237
RXW3he7HmTTxqdnWZqXYzrziLeG2,2,-3,2,5,2.357552004618084
RXW3he7HmTTxqdnWZqXYzrziLeG2,3,7,20,13,3.7142455176661224
RXW3he7HmTTxqdnWZqXYzrziLeG2,4,4,20,16,4.011227255423254
RXW3he7HmTTxqdnWZqXYzrziLeG2,5,3,20,17,4.098032082960526
RXW3he7HmTTxqdnWZqXYzrziLeG2,6,6,10,4,2.0443941193584534
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,1,8000000,,8000000,22.931568591866284
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,2,2,2,0,0
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,3,25,25,0,0
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,4,20,20,0,0
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,5,15,35,20,4.330916878114617
d4NWJmtzBKMsHkHVO9y9vzjOO2L2,6,10,10,0,0
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,1,7,,7,2.8328900141647417
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,2,2,2,0,0
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,3,20,20,0,0
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,4,20,20,0,0
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,5,15,15,0,0
hvbmlXIGhOeRUmQFyGO4TYWKYsa2,6,10,10,0,0
mQKOGG1u2GVVuPEAoD4smzCI2Si1,1,5,,5,2.357552004618084
mQKOGG1u2GVVuPEAoD4smzCI2Si1,2,2,2,0,0
mQKOGG1u2GVVuPEAoD4smzCI2Si1,3,3,20,17,4.098032082960526
mQKOGG1u2GVVuPEAoD4smzCI2Si1,4,20,20,0,0
mQKOGG1u2GVVuPEAoD4smzCI2Si1,5,14,15,1,0.16992500144231237
mQKOGG1u2GVVuPEAoD4smzCI2Si1,6,10,10,0,0
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,1,-1,,1,0.16992500144231237
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,2,2,2,0,0
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,3,10,10,0,0
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,4,20,20,0,0
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,5,35,35,0,0
o40Nd6sXrRXcF6YdaM8ZYkCaOO52,6,50,10,40,5.3264294871223035
vB09aHaXdFbEx2FMDAVn3jKDnwA3,1,5,,5,2.357552004618084
vB09aHaXdFbEx2FMDAVn3jKDnwA3,2,2,2,0,0
vB09aHaXdFbEx2FMDAVn3jKDnwA3,3,25,25,0,0
vB09aHaXdFbEx2FMDAVn3jKDnwA3,4,20,20,0,0
vB09aHaXdFbEx2FMDAVn3jKDnwA3,5,25,25,0,0
vB09aHaXdFbEx2FMDAVn3jKDnwA3,6,50,10,40,5.3264294871223035
