id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants_category,participants,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7,sources,notes
911994004.0,Honduras,91.0,1994.0,Central America,1.0,4.0,21.0,9.0,1994.0,21.0,9.0,1994.0,1.0,Tegucigalpa,,100s,,"political behavior, process","price increases, tax policy",land farm issue,,crowd dispersal,,,,,,,"honduran police battle protesters united press international, september 21, 1994, wednesday, bc cycle, international, 130 words world wire: postscripts wall street journal, september 23, 1994, friday, section a; page 10, column 2, 23 words worldgraphics advisory associated press worldstream, september 24, 1994; saturday, domestic, non washington, general news item, 1141 words;","honduran police used tear gas and baton charges wednesday to dislodge some 100 protesters from the economy ministry building where they were demanding solutions to the subhuman living conditions in their neighborhood. the protesters, from tegucigalpa s rundown canaan neighborhood, took over the building at midday complaining of lack of land, health problems, inadequate schooling, unemployment and high food prices. police tossed tear gas at the protesters, who were armed with sticks and knives, and chased them out of the building swinging their batons. some of the demonstrators responded by throwing stones at the police, but there were no reports of injuries, officials said. the army later moved troops into nearby streets to assist police in maintaining order."
911994005.0,Honduras,91.0,1994.0,Central America,1.0,5.0,10.0,10.0,1994.0,10.0,10.0,1994.0,0.0,Tegucigalpa,,10000,,"political behavior, process",land farm issue,"price increases, tax policy",,ignore,,,,,,,"by the associated press associated press worldstream, october 10, 1994; monday, international news, 817 words;","protesting neoliberal reforms, cuts to public spending, and land disputes."
1002019005.0,Colombia,100.0,2019.0,South America,1.0,5.0,26.0,11.0,2019.0,26.0,11.0,2019.0,0.0,Bogota; national,>10000,tens of thousands,protesters,"political behavior, process",police brutality,labor wage dispute,,crowd dispersal,,,,,,,"death of colombian teenager drives protesters back to streets the new york times november 26, 2019 tuesday 00:08 est. length: 804 words byline: alan yuhas","two days after a police projectile sent 18 year old dilan cruz to the hospital, his sister spoke at his high school, pleading for peace in colombia after five straight days of anti government protests. what we want most right now is for him to recover, his sister, denis cruz, said monday. we want what happened with dilan not to be used for more riots, to create more violence. the only thing we re also asking for from my family, she said, is peace. but that night, dilan died of the head injury, and protesters again flooded into the streets of bogot on tuesday, calling the teenager a victim of police brutality. the death has fueled still more anger among the tens of thousands of people who have for days protested against corruption and the conservative policies of president iv n duque. mr. duque tried to quell the anger by meeting tuesday with protest leaders for what he called a great national dialogue. but it was unclear what the meeting accomplished, other than having given protesters a forum to air grievances. for now, the crisis appears to have no end in sight. why are people protesting? the protests began with a general strike last thursday. more than 200,000 people took to the streets on the first day, the police estimated. the strike was organized by students, unions and indigenous people opposed to proposed changes to colombia s pension and labor laws. but as the days passed, thousands of other colombians joined the marches to express anger about inequality, corruption and possible austerity measures. in recent months, wallet issues have also driven mass protests in chile, lebanon and other nations. mr. cruz was the fourth person to be killed in the demonstrations, which for the most part have been peaceful, though a few have deteriorated into riots and looting. the protesters are also demonstrating against rising violence in the countryside, which has been linked to drug traffickers, rebel groups like the national liberation army and former members of the revolutionary armed forces of colombia, or the farc, who have returned to arms. although colombia and the farc reached a peace agreement in september 2016, thousands of militants have resumed fighting, and at least 500 activists and community leaders have been killed. mr. duque s government, which took over in august 2018, has been accused of being slow to put the terms of the agreement into action."
1011994004.0,Venezuela,101.0,1994.0,South America,1.0,4.0,17.0,3.0,1994.0,17.0,3.0,1994.0,0.0,"Caracas, Maturin, Acarigua, Maracay",,1000,"students, transport workers, farmers, hospital workers","price increases, tax policy","political behavior, process",labor wage dispute,land farm issue,ignore,,,,,,,"united press international, march 17, 1994, thursday, bc cycle, international, thousands of venezuelans take to streets to protest ;",national level protests against different issues
1402013008.0,Brazil,140.0,2013.0,South America,1.0,8.0,17.0,6.0,2013.0,17.0,6.0,2013.0,1.0,nationwide,,240000,,"price increases, tax policy",police brutality,land farm issue,,crowd dispersal,shootings,accomodation,,,,,"brazilians stage largest protests in 20 years, bearing a multitude of complaints; hundreds of thousands are demonstrating in more than 20 cities across brazil in a show of frustration over poor public services, preparations for mega events like the olympics, and the police s harsh response to previous protests. the christian science monitor, june 18, 2013 tuesday, world, taylor barnes; thousands gather for protests in brazil s largest cities. the new york times, june 18, 2013 tuesday, section a; column 0; foreign desk; pg. 5, by simon romero; paula ramon and taylor barnes; violence spreads across brazil as anger grows at world cup costs. the times london , june 18, 2013 tuesday, news; pg. 31, james hider; world digest: june 17, 2013. the washington post, june 18, 2013 tuesday, a section; pg. a07; we don t want this ruinous world cup, say demonstrators. the times london , june 19, 2013 wednesday, news; pg. 26,27, james hider; brazil demonstrators maintain pressure on government. the washington post, june 19, 2013 wednesday, a section; pg. a09, bradley brooks; brazil s president meets protests with an anti erdogan response; protests have popped up across the globe in recent years, but government response has varied. rousseff s approach contrasted with the adversarial position of turkey s erdogan, for example. the christian science monitor, june 20, 2013 thursday, world, taylor barnes ;",article says that the earliest of these protests began in april but are more frequent recently; police response to previous protests said to bring more people out for this protest
1402013021.0,Brazil,140.0,2013.0,South America,1.0,21.0,7.0,9.0,2013.0,7.0,9.0,2013.0,0.0,nationwide,,1000s,,"political behavior, process",removal of politician,social restrictions,labor wage dispute,crowd dispersal,arrests,,,,,,"protests fill city streets across brazil. the new york times, september 8, 2013 sunday, section a; column 0; foreign desk; pg. 12, by simon romero; paula ramon contributed reporting from s o paulo, brazil; lucy jordan from bras lia; and taylor barnes; protests over world cup. the times london , september 9, 2013 monday, news; pg. 28, dom phillips;","organized to challenge the military parades commemorating brazil s independence; continued ire over corruption in the gov t; supported a teachers strike and demanded demilitarisation of brazil s street police; police used tear gas, rubber bullets & stun grenades, arrested over 500 protesters"
1452019003.0,Bolivia,145.0,2019.0,South America,1.0,3.0,7.0,10.0,2019.0,7.0,10.0,2019.0,0.0,Potosi province,100-999,100,residents; students,labor wage dispute,,"political behavior, process",,ignore,,,,,,,"protests in bolivia over lithium deal with german company associated press international october 8, 2019 tuesday 1:21 am gmt. length: 178 words dateline: la paz, bolivia","demonstrators said monday they will intensify their protest demanding bolivia s government end a project with germany s privately owned aci systems to develop the andean country s lithium reserves at the uyuni salt flat. some university students who joined the protest monday set off sticks of dynamite in bolivia s potosi province about 260 miles 420 kilometers south of la paz. but police did not report any arrests or injuries. residents are demanding an end to the deal, which seeks to build a factory for electric vehicle batteries and a lithium hydroxide plant. they also want better royalties for the region that is home to one of the world s largest lithium reserves. lithium is a key component for cellphone batteries and battery parts for electric cars. protest leaders say their demands are being ignored by the government. authorities say the protest is being stoked by members of the opposition ahead of bolivia s oct. 20 presidential election, where president evo morales is seeking his fourth term in what is expected to be a tight race."
2001996017.0,United Kingdom,200.0,1996.0,Europe,1.0,17.0,23.0,10.0,1996.0,23.0,10.0,1996.0,0.0,London,2000-4999,>2000,"farmers, national farmers union","political behavior, process",land farm issue,labor wage dispute,,ignore,,,,,,,"farmers demand urgent action to lift ban on beef. the times, october 24, 1996, thursday, home news, michael hornsby, agriculture correspondent;","more than 2,000 farmers voiced their anger over the government s handling of the bse crisis at a protest rally in london yesterday and called for urgent negotiations to get the european union ban on british beef lifted...the president of the national farmers union, drew loud applause as he declared...farmers drove by coach from all over the country to the methodist central hall, many carrying banners proclaiming british beef is best and give hogg a roasting a reference to douglas hogg, the agriculture minister, whom they blame for worsening their plight...at the rally, sir david called on the government to proceed with a selective cull of 120,000 cattle identified as being at special risk of developing bse, as agreed at the eu summit in florence in june. that, he said, was the key to getting the export ban lifted...mr hogg announced at the end of september that the plans for a selective cull had been suspended. he saw no point in the cull because most eu states were determined to maintain the beef ban whatever britain did..."
2201990017.0,France,220.0,1990.0,Europe,1.0,17.0,28.0,9.0,1990.0,28.0,9.0,1990.0,0.0,Poitiers to Angouleme,1000-1999,1000,farmers,labor wage dispute,"political behavior, process","price increases, tax policy",removal of politician,crowd dispersal,,,,,,,"angry farmers derail mitterrand s outing. the times, september 29, 1990, saturday, overseas news, from philip jacobson in paris;","faced with angry demonstrations by farmers demanding greater support from his government along most of the rail route ??the president was exposed to further embarrassment when protesters caught up with him at poitiers. shrill whistles and shouts of resign greeted his appearance there, while banners demanded an end to the elimination of small farmers . there were similar scenes at angouleme, about 70 miles down the track, where police barricades were required to contain about a thousand demonstrators..."
3102019001.0,Hungary,310.0,2019.0,Europe,1.0,1.0,5.0,1.0,2019.0,5.0,1.0,2019.0,0.0,Budapest,5000-10000,thousands,protesters,"political behavior, process",labor wage dispute,removal of politician,.,crowd dispersal,,,,.,,,"1. protesting slave law, thousands take to streets in hungary the new york times january 5, 2019 saturday 23:58 est, length: 1254 words byline: marc santora and benjamin novak; 2. hungarians protest fake democracy the washington post january 6, 2019 sunday, met 2 edition, section: a section; pg. a11 length: 1255 words byline: griff witte","many thousands of hungarians, their winter coats zipped tight against a freezing rain, marched through central budapest on saturday, voicing anger at their right wing government and showing that resistance remains alive in a country where it had appeared all but dead. the protest extended into a second month and a new year a campaign emerging as one the most serious challenges yet to the authority of viktor orban, the four term prime minister. resign! resign! demonstrators chanted as a column of marchers stretching many city blocks made its way along andrassy avenue, the city s grand central boulevard. by late afternoon, the crowd had filled the sprawling plaza in front of the hungarian parliament, near the banks of the danube. orban has helped pioneer a breed of autocracy in a country that threw off the shackles of communist authoritarianism three decades ago, and he serves as inspiration for other hard line leaders in europe and beyond. but the most important trigger for the demonstrations was legislation, jammed through the parliament last month with little debate, that allows employers to force workers to perform as many as 400 hours of overtime per year. employers can delay payments for up to three years. in advance of this weekend s protests, the budapest police chief ordered a heightened state of alert, allowing officers to stop anyone, without suspicion, to check identification and search personal belongings. still, thousands braved wind, snow and freezing temperatures on saturday to march from heroes square in central budapest to the majestic parliament building on the banks of the danube. it was a diverse crowd, a mix of young and old, led by people frightened that their country was sliding into dictatorship. laszlo kordas, the head of the hungarian trade union confederation, which has 150,000 members, said that although the political class and business elite had long been able to steer labor policies in their own direction, previous governments had never attempted something so brazen."
3171999001.0,Slovak Republic,317.0,1999.0,Europe,1.0,1.0,25.0,9.0,1999.0,25.0,9.0,1999.0,0.0,Bratislava,>10000,40000,slovak trade unions,"price increases, tax policy",labor wage dispute,social restrictions,"political behavior, process",ignore,,,,,,,"associated press international, september 25, 1999; saturday, international news, 333 words slovakia: 40,000 protest the gazette montreal, quebec , september 26, 1999, final, news; a9, 96 words;","??a crowd of some 40,000 rallied against the pro western government saturday, urging it to raise plummeting living standards and redress 20 different grievances. ?? demands included job guarantees for school leavers, a 40 hour work week down from 42 1 2 hours, lower enterprise taxes, a halt to gender discrimination and a halt to corruption and economic crimes. ??"
