country,year,region,startdate,startfrac,enddate,endfrac,protesterviolence,location,participants,participantsizeindicator,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7
Canada,1990,North America,1/15/1990,1990.04,1/15/1990,1990.04,0,national,1000s,3,unspecified,"political behavior, process",labor wage dispute,,,ignore,,,,,,
Canada,1990,North America,6/25/1990,1990.48,6/25/1990,1990.48,0,"Montreal, Quebec",1000,2,unspecified,"political behavior, process",,,,ignore,,,,,,
Canada,1990,North America,7/1/1990,1990.5,7/1/1990,1990.5,0,"Montreal, Quebec",500,1,separatist parti quebecois,"political behavior, process",,,,ignore,,,,,,
Canada,1990,North America,7/12/1990,1990.68,9/6/1990,1990.68,1,"Montreal, Quebec",100s,1,mohawk indians,land farm issue,,,,accomodation,,,,,,
Canada,1990,North America,8/14/1990,1990.62,8/15/1990,1990.62,1,"Montreal, Quebec",950,1,local residents,"political behavior, process",,,,crowd dispersal,arrests,accomodation,,,,
Canada,1990,North America,9/19/1990,1990.72,9/19/1990,1990.72,0,"Kahnawake Reservation near Montreal, Quebec",200,1,mohawk indians,police brutality,,,,crowd dispersal,shootings,,,,,
Canada,1991,North America,9/10/1991,1991.71,9/17/1991,1991.71,0,national,110000,5,public service alliance of canada,labor wage dispute,,,,ignore,,,,,,
Canada,1991,North America,9/28/1991,1991.75,10/2/1991,1991.75,0,national,110000,5,public service alliance of canada,labor wage dispute,,,,ignore,,,,,,
Canada,1992,North America,5/4/1992,1992.34,5/5/1992,1992.34,1,Toronto,1000,2,gangs of black and white youths,police brutality,,,,arrests,,,,,,
Canada,1993,North America,5/16/1993,1993.37,5/16/1993,1993.37,0,Ottawa,10000s,4,unspecified,"political behavior, process",,,,ignore,,,,,,
Canada,1993,North America,7/1/1993,1993.66,8/31/1993,1993.66,0,"Clayoquot Sound, British Columbia",100s,1,environmental activitists,"political behavior, process",,,,arrests,,,,,,
Canada,1994,North America,9/1/1994,1994.67,9/1/1994,1994.67,0,Ottawa,10000,4,gun owners and supporters,"political behavior, process",,,,ignore,,,,,,
Canada,1994,North America,11/18/1994,1994.88,11/18/1994,1994.88,0,Ottawa,6000,4,students,"price increases, tax policy",,,,ignore,,,,,,
Canada,1995,North America,2/20/1995,1995.14,2/20/1995,1995.14,0,"Pickering, Ontario",3000,3,unspecified,"price increases, tax policy",,,,ignore,,,,,,
Canada,1995,North America,9/8/1995,1995.68,9/8/1995,1995.68,1,"Ipperwash Provincial Park, Ontario",100s,1,chippewa indians,land farm issue,,,,shootings,killings,,,,,
Canada,1996,North America,10/26/1996,1996.82,10/26/1996,1996.82,0,"Toronto, Ontario",1000s,3,labor unions,"price increases, tax policy",,,,ignore,,,,,,
Canada,1997,North America,10/28/1997,1997.85,11/9/1997,1997.85,0,Ontario,126000,5,ontario teachers federation,"political behavior, process",labor wage dispute,,,ignore,,,,,,
Canada,1997,North America,11/19/1997,1997.92,12/4/1997,1997.92,0,national,45000,5,canadian union of postal workers,labor wage dispute,,,,ignore,,,,,,
Canada,2000,North America,2/22/2000,2000.14,2/23/2000,2000.14,1,"Quebec City, Quebec",2000,3,french speaking youths,"political behavior, process",,,,ignore,,,,,,
Canada,2000,North America,2/26/2000,2000.15,2/26/2000,2000.15,0,"Saskatoon, Saskatchewan",400,1,unspecified,police brutality,,,,accomodation,,,,,,
Canada,2000,North America,5/9/2000,2000.35,5/9/2000,2000.35,0,"Edmonton, Alberta",500,1,unspecified,"political behavior, process",,,,ignore,,,,,,
Canada,2000,North America,6/16/2000,2000.46,6/16/2000,2000.46,1,"Toronto, Ontario",10s,0,anti poverty protesters,"political behavior, process",,,,crowd dispersal,arrests,,,,,
Canada,2003,North America,5/3/2003,2003.33,5/3/2003,2003.33,1,"Shippagan, New Brunswick",250,1,crab fishermen,"political behavior, process",,,,ignore,,,,,,
Canada,2005,North America,3/3/2005,2005.25,4/3/2005,2005.25,1,Quebec,170000,5,college students,"political behavior, process",,,,arrests,,,,,,
Canada,2005,North America,9/10/2005,2005.69,9/10/2005,2005.69,0,"Toronto, Ontario",300,1,unspecified,"political behavior, process",,,,ignore,,,,,,
Canada,2006,North America,2/21/2006,2006.62,8/17/2006,2006.62,1,"Caledonia, Ontario",200,1,mohawk indians,police brutality,"political behavior, process",,,crowd dispersal,,,,,,
Canada,2007,North America,6/29/2007,2007.49,6/29/2007,2007.49,0,national,1000s,3,native groups mohawk indians,"political behavior, process",,,,ignore,,,,,,
Canada,2008,North America,8/10/2008,2008.61,8/10/2008,2008.61,1,"Montreal, Quebec",100s,1,unspecified,police brutality,,,,crowd dispersal,,,,,,
Canada,2009,North America,5/13/2009,2009.36,5/13/2009,2009.36,0,"Toronto, Ontario",12000,5,tamil canadians,"political behavior, process",,,,ignore,,,,,,
Canada,2009,North America,11/10/2009,2009.86,11/10/2009,2009.86,1,"Montreal, Quebec",200,1,quebec separatists,"political behavior, process",,,,arrests,,,,,,
Canada,2010,North America,2/12/2010,2010.12,2/13/2010,2010.12,1,"Vancouver, British Columbia",1500,2,unspecified,"political behavior, process",,,,arrests,,,,,,
Canada,2011,North America,7/3/2011,2011.5,7/3/2011,2011.5,0,"Montreal, Quebec",300,1,quebec separatists,"political behavior, process",,,,ignore,,,,,,
Canada,2012,North America,2/10/2012,2012.43,6/6/2012,2012.43,1,Quebec,1000s,3,university students,"price increases, tax policy",,,,crowd dispersal,arrests,,,,,
Canada,2015,North America,10/6/2015,2015.76,10/6/2015,2015.76,0,Whitby,50+,0,protesters,"political behavior, process",,,,ignore,,,,,,
